Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
菅野　智之,2.0,1.0,1.0,0.0,0.0,0.0,52.0,12.2,7.0,0.0,10.0,6.0,1.0,1.0,0.0,5.0,1.0,0.71,3.23,4.03,1.03,322,97,118,-2.52,0.0%,19.2%,11.5%,7.7%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
西口　直人,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.15,1.47,0.00,999,37,43,-1.15,0.0%,33.3%,0.0%,33.3%,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
酒居　知史,2.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,4.50,5.65,-0.91,0.50,48,181,-27,-1.15,14.3%,57.1%,0.0%,57.1%,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
金久保　優斗,1.0,0.0,0.0,0.0,0.0,0.0,17.0,3.2,4.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,2.45,2.61,3.62,1.64,93,78,106,-0.16,0.0%,23.5%,11.8%,11.7%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
鈴木　昭汰,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,3.15,4.80,0.00,999,96,140,-3.15,0.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
鍵谷　陽平,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,3.15,4.80,0.00,999,95,140,-3.15,0.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
青柳　晃洋,1.0,0.0,1.0,0.0,0.0,0.0,13.0,2.2,5.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.00,2.40,4.03,1.88,999,77,118,-2.40,0.0%,7.7%,0.0%,7.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
馬場　皐輔,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,-0.85,-1.87,0.00,999,-27,-55,0.85,0.0%,66.7%,0.0%,66.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
高木　京介,2.0,1.0,0.0,0.0,0.0,0.0,6.0,1.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00,5.40,6.47,1.50,999,162,189,-5.40,0.0%,0.0%,16.7%,-16.7%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
高梨　裕稔,1.0,0.0,0.0,0.0,0.0,0.0,19.0,4.2,4.0,0.0,7.0,1.0,0.0,1.0,0.0,1.0,1.0,1.93,1.44,1.64,1.07,119,43,48,0.49,0.0%,36.8%,5.3%,31.5%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
高梨　雄平,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.2,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.00,16.65,9.80,6.00,999,500,287,-16.65,0.0%,0.0%,50.0%,-50.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
高橋　奎二,2.0,2.0,0.0,0.0,1.0,0.0,55.0,15.0,7.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.00,2.42,3.35,0.80,999,73,98,-2.42,0.0%,23.6%,9.1%,14.5%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
髙橋　優貴,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.2,5.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,10.80,-0.45,1.80,3.00,21,-14,53,11.25,0.0%,30.0%,0.0%,30.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
髙橋　遥人,1.0,0.0,1.0,0.0,0.0,0.0,24.0,6.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,3.0,4.50,1.99,3.13,1.17,47,64,92,2.51,0.0%,20.8%,4.2%,16.6%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
齋藤　友貴哉,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,3.15,4.80,1.00,999,101,140,-3.15,0.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Ｋ－鈴木,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,-2.85,-5.20,0.00,999,-92,-152,2.85,0.0%,100.0%,0.0%,100.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
