Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
川端　慎吾,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-95,0.000,0.000,25.0%,25.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
平沼　翔太,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-99,0.000,0.000,33.3%,33.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
愛斗,2.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.167,0.250,0.167,0.417,30,0.000,0.200,37.5%,25.0%,12.5%,0.50,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
戸柱　恭孝,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-97,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
才木　浩人,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-102,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
杉本　裕太郎,11.0,45.0,39.0,2.0,11.0,0.0,0.0,1.0,14.0,8.0,1.0,0.0,0.0,0.0,13.0,4.0,0.0,2.0,1.0,0.282,0.378,0.359,0.737,131,0.077,0.400,40.0%,28.9%,8.9%,0.31,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
村上　宗隆,10.0,45.0,35.0,6.0,8.0,2.0,0.0,2.0,16.0,8.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,0.0,1.0,0.229,0.400,0.457,0.857,155,0.229,0.261,48.9%,22.2%,22.2%,1.00,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
来田　涼斗,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
柳田　悠岐,6.0,25.0,20.0,4.0,6.0,1.0,0.0,2.0,13.0,8.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.300,0.440,0.650,1.090,236,0.350,0.364,56.0%,28.0%,20.0%,0.71,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
柳町　達,3.0,8.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.200,0.500,0.400,0.900,181,0.200,0.250,37.5%,12.5%,25.0%,2.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
栗山　巧,2.0,8.0,8.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.250,0.250,0.500,0.750,126,0.250,0.286,12.5%,12.5%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
桑原　将志,3.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-97,0.000,0.000,22.2%,22.2%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
梅野　隆太郎,6.0,17.0,15.0,1.0,4.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.267,0.294,0.400,0.694,114,0.133,0.333,23.5%,17.6%,5.9%,0.33,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
森　友哉,2.0,8.0,8.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.125,0.125,0.500,0.625,85,0.375,0.000,50.0%,37.5%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
森　敬斗,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-97,0.000,0.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
楠本　泰史,2.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.167,0.333,3,0.000,0.167,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
正木　智也,2.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.200,0.200,0.400,0.600,82,0.200,0.250,20.0%,20.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
源田　壮亮,2.0,8.0,8.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.125,0.125,0.375,0.500,50,0.250,0.250,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
濵口　遥大,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-97,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
熊谷　敬宥,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-102,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
