Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League,keys
<a href=https://npb.jp/bis/eng/players/51155136.html>Azuma Katsuki</a>,2.0,1.0,0.0,0.0,0.0,0.0,46.0,11.0,13.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,1.0,0.82,2.09,3.28,1.18,348,61,100,-1.27,0.0%,15.2%,0.0%,15.2%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('東 克樹', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/41845157.html>Matsumoto Haru</a>,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.59,3.13,1.50,999,47,96,-1.59,0.0%,16.7%,0.0%,16.7%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('松本 晴', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/63365155.html>Yanagawa Taisei</a>,2.0,0.0,0.0,0.0,0.0,0.0,8.0,1.1,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,6.75,6.09,6.05,3.00,43,176,185,0.66,0.0%,12.5%,25.0%,-12.5%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('柳川 大晟', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/01705155.html>Kirishiki Takuma</a>,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,13.50,1.59,3.13,1.50,20,49,96,11.91,0.0%,16.7%,0.0%,16.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('桐敷 拓馬', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/93195134.html>Morihara Kohei</a>,6.0,0.0,0.0,5.0,0.0,0.0,22.0,6.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.50,1.59,2.53,0.67,190,47,77,-0.09,0.0%,27.3%,4.5%,22.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('森原 康平', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/23125151.html>Yokoyama Rikuto</a>,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.1,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.00,-1.41,-0.20,1.50,999,-41,-6,1.41,0.0%,50.0%,0.0%,50.0%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL,"('横山 陸人', 'Lotte Marines')"
<a href=https://npb.jp/bis/eng/players/81885138.html>Yokogawa Kai</a>,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00,2.09,2.30,1.00,999,63,70,-2.09,0.0%,50.0%,25.0%,25.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('横川 凱', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/01105134.html>Ikeda Takahide</a>,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00,3.69,3.13,0.00,999,107,96,-3.69,0.0%,16.7%,0.0%,16.7%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('池田 隆英', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/81785151.html>Kawano Ryusei</a>,3.0,1.0,0.0,0.0,0.0,0.0,7.0,1.2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.69,1.94,1.20,999,20,59,-0.69,0.0%,28.6%,0.0%,28.6%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('河野 竜生', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/81285151.html>Tsumori Yuki</a>,2.0,0.0,0.0,0.0,0.0,0.0,12.0,2.2,1.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,3.0,10.13,4.21,3.97,1.13,28,123,121,5.92,0.0%,25.0%,16.7%,8.3%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('津森 宥紀', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/81985133.html>Sawamura Hirokazu</a>,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.2,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,13.50,1.59,2.80,4.50,21,46,86,11.91,0.0%,40.0%,20.0%,20.0%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL,"('澤村 拓一', 'Lotte Marines')"
<a href=https://npb.jp/bis/eng/players/51655134.html>Hamaguchi Haruhiro</a>,3.0,0.0,0.0,0.0,0.0,0.0,26.0,7.0,3.0,0.0,7.0,2.0,0.0,0.0,0.0,1.0,1.0,1.29,1.95,2.88,0.71,221,57,88,-0.66,0.0%,26.9%,7.7%,19.2%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('濵口 遥大', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/41245138.html>Nabatame Tsubasa</a>,2.0,0.0,0.0,0.0,0.0,0.0,11.0,2.2,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.09,1.16,1.13,999,3,35,-0.09,0.0%,36.4%,0.0%,36.4%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('生田目 翼', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/31235134.html>Tanaka Seigi</a>,2.0,0.0,0.0,0.0,0.0,0.0,9.0,2.2,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.84,1.47,0.38,999,24,45,-0.84,0.0%,33.3%,0.0%,33.3%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('田中 正義', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/71675135.html>Masuda Naoya</a>,2.0,0.0,0.0,1.0,0.0,0.0,6.0,1.2,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,5.40,7.29,-0.20,0.60,53,212,-6,-1.89,16.7%,50.0%,0.0%,50.0%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL,"('益田 直也', 'Lotte Marines')"
<a href=https://npb.jp/bis/eng/players/41145153.html>Ishii Daichi</a>,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.89,3.37,1.20,999,58,103,-1.89,0.0%,14.3%,0.0%,14.3%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('石井 大智', 'Hanshin Tigers')"
